kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,t_rise,t_set,overshoot
1.3394678936,1.6479295859,2.0650130026,1.6427285457,2.7869573915,5.43200306071098,100,15399.9681199003
2.2714542909,0.5653130626,1.8483696739,0.9353870774,0.5161032206,1.65900678101017,100,1844.58371316662
0.2328465693,0.3012602521,1.9227845569,1.6175235047,1.8177635527,1.69286517894615,100,3129.27885024602
0.0774154831,1.124624925,1.1204240848,1.0314062813,1.9263852771,1.23359352772522,100,14668.7729362484
0.4776955391,0.7209441888,2.6591318264,0.7785557111,2.4568913783,1.26090520315912,100,1587.20426417425
2.125625125,1.0370074015,0.8779755951,1.0450090018,2.6915383077,1.24912827520474,100,1766.39390627755
1.6017203441,1.9159831966,1.1408281656,1.7375475095,1.4660932186,1.36709194159206,100,2134.990200941
1.0430086017,0.0084016803,2.0812162432,1.5683136627,0.7123424685,5.20058206593363,100,57.0013996831461
1.2116423285,0.5141028206,1.4072814563,0.8029605921,0.0384076815,2.96318977379824,100,398.435507818261
0.4806961392,1.7779555911,2.0704140828,0.2516503301,1.3040608122,1.24648058993464,100,9803.10039190089
1.1360272054,0.8713742749,1.424684937,0.7477495499,2.4796959392,1.27831509215512,100,7206.11593277042
1.1828365673,0.5541108222,2.8781756351,0.1812362472,1.4972994599,1.39864019684662,31.6767352585119,63.2972582002574
0.9475895179,0.048809762,1.4324864973,0.324464893,1.2656531306,3.63233989304484,47.8743412031687,57.0837806895549
1.3076615323,1.2066413283,1.2110422084,1.5279055811,2.299059812,1.25301116741769,100,27090.9414269539
1.9881976395,0.4156831366,1.6419283857,1.199039808,0.973994799,1.65349036548638,100,1927.60812973847
1.4564912983,0.6469293859,2.9951990398,1.74994999,2.5457091418,1.27029454396307,100,14404.5069404904
2.7665533107,0.7177435487,2.1886377275,0.6317263453,2.2222444489,1.27599258859064,100,59.3035297965313
0.2730546109,0.148829766,2.1286257251,0.7869573915,1.1288257652,2.41763345540897,100,1557.63935357396
0.5893178636,0.350070014,0.9805961192,0.2892578516,2.2408481696,2.15444172249947,43.5936342689471,62.2567040358104
0.5143028606,0.1376275255,1.8213642729,1.6415283057,0.1182236447,4.23112389026058,100,1048.09143262533
1.4114822965,1.3122624525,0.6613322665,1.3298659732,0.0774154831,2.29747338309006,100,1797.8607968054
2.4310862172,0.6841368274,2.8127625525,0.7941588318,2.5445089018,1.30348116227931,100,4266.08038248147
0.3228645729,1.3350670134,1.6677335467,0.7833566713,1.3634726945,1.26548848904871,100,17875.2337341156
1.5123024605,1.2838567714,0.8119623925,0.8293658732,0.0528105621,2.30110334522925,100,1638.06398471974
